Gene,Base,Vec,Bait1,Bait2,Enr1,Enr2,AdjEnr1,AdjEnr2,pBait1_Vec,pBait2_Vec,pBait1_Bait2,pBait2_Bait1,pBait1,pBait2
WNT7A,23.8952325268173,1.11788680546973,799.061146298949,4.54021008687125,9.41835191624206,1.97465973373083,5.89562617262045,-3.82518915327487,0.999977505018109,0.0013687678846523,0.999928068407576,7.19315924239465e-05,0.999905575043785,9.84576536017963e-08
MEIOC,19.2824614811865,1.23881570135718,513.435617762284,2.27010504343562,8.63813408308578,0.848144149972845,5.47680415390555,-4.33675485323256,0.999938508491706,0.000776544163540377,0.999950169820233,4.98301797672111e-05,0.999888681376071,3.86953352663955e-08
DLG3,127.155996789207,10.4146287070738,26633.5018897882,884.773440679034,11.3135080013885,6.40179657614708,7.80651306618941,-0.0177170771965513,0.99999995512793,0.494449477058859,0.999352392081587,0.000647607918413327,0.999352347238576,0.000320209396598646
TOX3,16.0273182867996,0.497775937112979,175.603610444747,0.567526260858906,8.32493162293889,0.172914597665807,4.62500985026123,-4.81569657397889,0.999316024524743,0.000576411269631939,0.999950162940117,4.98370598830578e-05,0.999266221552186,2.87266429619163e-08
RNPS1,18.7618688445752,1.98266753631401,429.301209809641,4.54021008687125,7.72264017986329,1.17518591822534,4.62621740984474,-4.04321591468179,0.999459058774342,0.00104037319190055,0.999753930916717,0.00024606908328267,0.999213122799971,2.56003677602833e-07
KCNJ2,63.9789889109964,5.83129181912353,1484.21724798509,11.3505252171781,7.97940208655041,0.954895308924544,4.73415321204723,-4.31546796219559,0.999324512035739,0.000402829134071634,0.999809310068828,0.000190689931171891,0.999133950913321,7.68154598501523e-08
APEX1,387.973416178683,23.3167310643562,9118.87544655955,283.195604168594,8.6082641007524,3.59952574167013,5.01637493471631,-2.62076892285412,0.999822917671079,0.0185941072676864,0.999092415376986,0.000907584623013739,0.998915493765264,1.68757258348201e-05
DHTKD1,91.1218566547825,6.08369487607082,2245.31004607977,101.587200693744,8.51597468524196,4.05052833515933,4.90018137927927,-2.28043741815201,0.999657862937138,0.0308907372755802,0.998198717262459,0.00180128273754052,0.997857196485183,5.5642951804402e-05
GNL3,2231.03114448131,125.651193749817,22564.4167543966,581.714417380378,7.48791052411966,2.21043670847348,3.93144567800521,-3.65550260974434,0.997494615547955,0.00157722008621309,0.998874284788312,0.00112571521168781,0.996371720685656,1.77550064322963e-06
KRT4,34.493328282395,2.73214351269611,824.517197935903,50.5098372164426,8.21129641930978,4.18372307242005,4.52362829428928,-2.22681376568888,0.9988980637845,0.0368928235821672,0.996744621267176,0.00325537873282422,0.995646272271397,0.000120100113283223
MMP1,15.6853373896206,0.745257870313151,434.478711837495,36.8892069558289,9.09381304755161,5.5375863388047,5.03583465651459,-1.33373429478663,0.999623871729424,0.142110115697487,0.995981105480284,0.00401889451971634,0.995606488829553,0.000571125565172887
GIGYF2,428.095687721768,29.0270939875923,14426.2464836132,1295.66245354088,8.95460217244103,5.47771868730524,5.27730368290869,-1.06256784674085,0.999876687518785,0.199111356838008,0.99488180802858,0.00511819197141971,0.994759126684317,0.00101909014798678
MICALL1,1122.54328332959,61.5308863405157,18926.3586628238,1543.67142953622,8.26370233399003,4.64778599360218,4.53427666080208,-1.82887525086449,0.999289114797619,0.0732266651718997,0.994990985973262,0.00500901402673818,0.994283661604831,0.000366793392977306
DGKA,139.936192152044,7.57069552830632,1138.18752912345,22.7010504343562,7.22266326137656,1.57793857600703,3.70696727470637,-4.06287077678995,0.994645720213705,0.000609613637720834,0.999263918012584,0.000736081987415689,0.993913579415196,4.4872561800926e-07
ZGRF1,80.4979395313769,4.58755499401924,875.42930120981,44.8345746078535,7.56056486957171,3.27478342700521,3.90658734160063,-2.84623188288081,0.99684090496621,0.0118375263941566,0.996904428151759,0.00309557184824067,0.993755112323621,3.66439134585569e-05
RXFP1,33.334157272462,1.48629763455735,210.551749132768,4.54021008687125,7.09891586475448,1.57910244148826,3.49743517997815,-4.10262560878077,0.993884754814944,0.000893583629829572,0.998913145543095,0.00108685445690474,0.992804546739524,9.7119535069739e-07
ZNF416,57.9589025298745,1.98407357167033,369.759936489308,11.3505252171781,7.50626831719655,2.48665652326177,3.7029255967599,-3.59238249113061,0.993916166211433,0.00187097425784322,0.998597188495044,0.00140281150495616,0.99252188917851,2.62462421437928e-06
ARID3C,31.876541816766,1.73518560311384,595.844191705642,56.7526260858906,8.38283829814346,4.99181164757552,4.57421326094134,-1.66455387748111,0.998841331434459,0.100305961723623,0.993600203493398,0.00639979650660197,0.992448950170895,0.000641937743430193
CA11,10.4824833451073,1.48981272294814,213.571958649017,12.4855777388959,7.11616124576326,3.02520168711976,3.83177088882648,-2.83118350503379,0.995290838650935,0.00957590586614963,0.996603943924012,0.00339605607598763,0.99191077515096,3.25203132998231e-05
ITGB1,59.7803109595166,2.10992359130489,396.510363633226,15.8907353040494,7.52041639958107,2.88366599644481,3.70710996752156,-3.3421887785567,0.993890246775331,0.00346256622761519,0.997939751773422,0.00206024822657843,0.991842586156998,7.13374592985456e-06
ERI3,22.0263701526755,1.73518560311384,162.65985537511,2.27010504343562,6.51008375089008,0.37811604834465,3.26178530008616,-4.63056395724562,0.988629446665282,0.000382225279551187,0.999178442918293,0.000821557081706965,0.98781723114219,3.14019885222702e-07
FBXO43,9.0940380046324,0.372628935156575,59.1098148180108,1.13505252171781,7.12908218198168,1.48748755158882,3.44817196919042,-4.14980696094874,0.988398877566643,0.000847896056477529,0.998834243051155,0.00116575694884514,0.987246644706889,9.88440719737074e-07
CAB39L,1311.35289953198,73.0598867646684,8471.68769307768,249.14402851706,6.85644759294059,1.76913107480938,3.28240304481733,-3.88754767921217,0.98837415148127,0.000907219020664062,0.998099772272973,0.00190022772702738,0.986496015513948,1.72392273755248e-06
DBN1,57.4403951297191,2.72933144198348,340.852216833785,12.4855777388959,6.93847628123942,2.17321869376338,3.27558446950565,-3.73767551107212,0.98828460925451,0.00148960521238273,0.997428472608888,0.0025715273911116,0.985743208311598,3.8305606055848e-06
ORC6,110.002364719771,4.96229298221029,552.698341473517,14.7556827823315,6.78500823441422,1.56260837201029,3.18149707624307,-4.08360945096359,0.986939776388612,0.000718233445755366,0.998245208708,0.00175479129199952,0.985207903063278,1.26034979623433e-06
BBS7,216.324113341473,32.1726414607782,3180.28062060991,196.364086257181,6.62495817842625,2.60775172996293,3.20859704606526,-3.18611345754277,0.986487657490602,0.00472148483001076,0.996604900743875,0.00339509925612543,0.983138433978479,1.6029909634177e-05
ABLIM3,5972.15446816706,314.721727152346,38449.8558928602,2103.2523227431,6.93253029337093,2.74027836521581,3.23304038558246,-3.28923302125226,0.986690059367078,0.00347879512622158,0.996311993668638,0.00368800633136156,0.983051140181041,1.28298184510149e-05
PMEL,67.1056901808661,4.34710323760066,654.09108951901,65.8330462596331,7.21690462382892,3.90528195260341,3.41786127049212,-2.48827833101094,0.991061632729508,0.0224419552662319,0.991865450792758,0.00813454920724208,0.982999793110661,0.000182555189419889
HSPBP1,16.2517505878783,0.371222899800257,59.1098148180108,1.13505252171781,7.13388985562542,1.49229522523257,3.06999633752838,-4.31022880525307,0.981404043803812,0.00100691481247411,0.997740070427687,0.00225992957231293,0.979186139782832,2.27555656151017e-06
PREX2,30.5902401948383,1.48770366991367,149.284641803151,6.81031513030687,6.60162755321992,2.15749733941818,2.91851987131175,-3.73337053128696,0.980156015064082,0.00183315244558455,0.996660080058198,0.00333991994180225,0.976882372443292,6.1225824093714e-06
